,MAE,RMSE
Naive_h24,1.485,1.705
Naive_h48,2.17,2.695
Naive_h72,2.109,2.52
Naive_h96,1.975,2.357
Naive_h120,1.848,2.253
Naive_h144,1.722,2.112
Naive_h168,1.637,2.032
Seasonal_h24,4.804,5.204
Seasonal_h48,5.489,6.441
Seasonal_h72,5.428,6.354
Seasonal_h96,5.203,6.135
Seasonal_h120,5.05,6.076
Seasonal_h144,4.824,5.892
Seasonal_h168,4.751,5.841
SARIMA_h24,1.991,2.404
SARIMA_h48,2.56,2.933
SARIMA_h72,2.42,2.821
SARIMA_h96,2.127,2.539
SARIMA_h120,1.914,2.344
SARIMA_h144,1.649,2.145
SARIMA_h168,1.519,2.017
ETS_h24,2.232,2.525
ETS_h48,2.337,2.583
ETS_h72,2.141,2.434
ETS_h96,2.05,2.365
ETS_h120,1.95,2.242
ETS_h144,1.818,2.119
ETS_h168,1.704,2.009
